millis,stamp,datetime,motion
237999,1137769202, 2005/13/20 15:0:2, Active
238999,1137769203, 2005/13/20 15:0:3, Active
240000,1137769204, 2005/13/20 15:0:4, Active
240999,1137769205, 2005/13/20 15:0:5, Active
241999,1137769206, 2005/13/20 15:0:6, Active
242998,1137769207, 2005/13/20 15:0:7, Active
243999,1137769208, 2005/13/20 15:0:8, Active
244999,1137769209, 2005/13/20 15:0:9, Active
245999,1137769210, 2005/13/20 15:0:10, Active
246999,1137769211, 2005/13/20 15:0:11, Active
247999,1137769212, 2005/13/20 15:0:12, Active
248999,1137769213, 2005/13/20 15:0:13, Active
249999,1137769214, 2005/13/20 15:0:14, Active
250999,1137769215, 2005/13/20 15:0:15, Active
252000,1137769216, 2005/13/20 15:0:16, Active
252999,1137769217, 2005/13/20 15:0:17, Active
253999,1137769218, 2005/13/20 15:0:18, Active
254999,1137769219, 2005/13/20 15:0:19, Active
256000,1137769220, 2005/13/20 15:0:20, Active
256999,1137769221, 2005/13/20 15:0:21, Active
